Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
30.0,14,34290.12,2697.51,9.0,8.0,25.0,7.0,52.0,10.0,17.96,9.0,2,2686.81,39.28029558815228,164.0,0,185.1119825795006,50.45037518047948,3,106.56906008284685,Poor
32.0,0,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,11.0,8.0,8.97,4.0,2,1233.1,27.98070066380292,230.0,2,30.57608482316153,28.187146041020004,5,224.64033293325656,Standard
40.0,1,28572.39,2210.0325,6.0,3.0,15.0,3.0,25.0,12.0,4.89,0.0,2,400.07,24.42225068036204,363.0,2,69.60292048199007,25.99346229581731,0,348.54982237062416,Standard
37.0,8,39641.54,3007.461666666666,10.0,8.0,25.0,6.0,61.0,13.0,1.54,6.0,0,2258.73,34.12570493442336,105.0,2,172.38252735862687,115.70679748009908,3,151.44861414401805,Poor
54.0,12,20186.02,1684.168333333333,1.0,5.0,1.0,2.0,5.0,6.0,6.83,4.0,1,413.32,35.94290748551229,219.0,1,29.534583720496048,14.29027334711074,3,334.6679090581607,Good
43.0,11,18627.64,1387.303333333333,7.0,7.0,19.0,6.0,31.0,21.0,5.07,7.0,0,1793.54,38.9796611529839,225.0,0,65.13948777561222,24.34618840548105,1,275.15086221005004,Poor
21.0,4,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,14.0,11.8,5.0,2,1489.49,26.32926887043728,104.0,2,16.719300227776053,16.286719355483015,1,312.91685541674093,Standard
43.0,14,58317.0,4664.75,8.0,5.0,9.0,6.0,18.0,17.0,16.58,6.0,2,98.97,40.4111148274711,157.0,2,149.89719942100822,57.95122336180115,1,467.0888509607195,Standard
36.0,12,42171.98,3764.331666666667,2.0,7.0,10.0,3.0,4.0,10.0,9.58,4.0,1,556.91,33.47895196844123,257.0,1,102.7629131170904,56.71137669245967,1,466.9588768571167,Standard
36.0,8,71681.4,5799.45,3.0,6.0,15.0,1.0,7.0,8.0,10.44,0.0,2,1293.02,40.33902428965335,307.0,2,53.92351397165268,74.60290879544424,5,514.7294041194536,Standard
16.0,9,29469.98,2227.8316666666665,7.0,7.0,24.0,5.0,53.0,21.0,26.94,11.0,0,3421.66,24.63965802618602,159.0,2,69.68545857227979,24.066131449353737,5,363.27211196971183,Standard
19.0,4,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,14.0,21.0,2.74,1.0,2,1173.7,23.282135114409623,335.0,1,215.83917063897167,82.49686626015253,3,116.87877742765828,Standard
36.0,11,15566.02,1423.168333333333,8.0,5.0,32.0,4.0,16.0,20.0,9.24,7.0,2,1693.95,37.40993371585021,94.0,2,43.07051960231588,46.57667279779648,5,323.25972821038425,Poor
18.0,2,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,7.0,15.0,7.67,0.0,2,233.79,34.45627234127101,291.0,1,100.18936089086122,66.6883582507525,5,518.1908835490624,Standard
32.0,10,12909.895,853.8245833333333,5.0,5.0,13.0,0.0,22.0,14.0,7.58,1.0,2,602.5,31.35686817783082,205.0,1,0.0,20.446680591816467,3,334.93577774151686,Standard
33.0,0,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,49.0,20.0,21.73,9.0,0,3470.08,24.61673534186334,14.0,2,114.533020898938,53.6486433406095,3,185.69849562207088,Standard
42.0,1,20574.47,1740.539166666667,6.0,3.0,14.0,4.0,6.0,10.0,13.74,6.0,2,749.95,25.82415682115377,131.0,0,49.348666321498655,23.56048988935808,5,268.80477235168075,Standard
21.0,7,148699.32,12432.61,3.0,4.0,5.0,3.0,13.0,8.0,9.2,1.0,1,949.38,41.687213348432586,367.0,1,364.9151774048712,237.91838093113248,0,822.1939946638072,Good
19.0,11,85554.03,7185.5025,4.0,2.0,3.0,0.0,12.0,7.0,6.43,3.0,1,1095.73,33.434371517540995,235.0,1,0.0,57.04699053352163,0,795.554663772378,Good
15.0,5,55829.79,4369.4825,10.0,10.0,18.0,8.0,30.0,20.0,27.99,11.0,0,3422.49,27.070543470468746,126.0,2,314.90178526768176,79.93896964172495,5,63.24697621142922,Standard
27.0,1,14165.23,1057.4358333333332,7.0,10.0,33.0,9.0,59.0,24.0,8.82,11.0,0,2797.17,25.314338857654143,167.0,2,58.86844083860843,45.62644681511021,2,246.32435693137435,Standard
30.0,13,87215.68,7489.973333333332,2.0,6.0,8.0,2.0,2.0,5.0,10.98,0.0,1,680.77,35.12551975918455,248.0,1,121.68201673654264,85.0897706786984,3,333.29198185875254,Good
43.0,7,81842.28,6810.19,10.0,9.0,25.0,9.0,20.0,19.0,16.25,9.0,0,3053.16,39.43016630693703,4.0,0,574.0657978713467,55.371438115591175,1,194.364477959624,Standard
38.0,3,95956.5,8279.375,8.0,4.0,11.0,2.0,18.0,10.0,11.94,2.0,2,1079.73,33.77692753166114,379.0,1,95.5216287821567,202.5717008716825,0,884.9056902902464,Standard
25.0,8,49967.01,4091.9175,7.0,6.0,31.0,6.0,27.0,11.0,19.87,11.0,2,2253.95,28.875737694025297,202.0,2,156.00331166279182,59.49541612485746,0,426.2564429902082,Poor
14.0,2,39887.22,3224.935,9.0,9.0,16.0,5.0,57.0,21.0,17.25,10.0,0,3119.6,30.18805936357039,149.0,2,133.47084524343262,37.210310126757285,4,270.0259039577801,Poor
43.0,2,14129.76,1012.48,8.0,5.0,21.0,8.0,62.0,17.0,5.51,6.0,0,4071.62,36.13729240094063,151.0,2,81.71265500803955,14.89687808240302,5,185.0894247172589,Poor
42.0,2,123732.32,10416.026666666668,4.0,3.0,11.0,0.0,15.0,8.0,11.92,3.0,1,1154.46,43.368064752029134,327.0,1,0.0,96.70297297216996,1,940.3944827695152,Good
36.0,14,17251.38,1654.615,6.0,3.0,7.0,7.0,8.0,13.0,15.06,6.0,2,2431.64,29.41972182557401,136.0,2,57.35116518894053,23.472604725994863,5,273.37354013584763,Standard
22.0,5,36822.29,3132.524166666666,8.0,7.0,6.0,4.0,14.0,19.0,5.79,4.0,2,125.25,26.6128717845352,297.0,1,95.8007129241996,38.11405465744953,5,386.0433278085868,Standard
25.0,3,80108.31,6866.6925,5.0,3.0,17.0,0.0,25.0,19.0,21.22,1.0,2,997.28,38.73267645522611,211.0,2,0.0,52.18981024031869,0,829.6035974828641,Standard
20.0,12,69977.6,5978.466666666667,10.0,7.0,20.0,9.0,49.0,18.0,6.81,11.0,0,3042.36,37.2171992978333,152.0,2,485.75043098703753,64.66200289302631,5,16.96991962983043,Standard
16.0,11,78988.48,6449.373333333332,9.0,5.0,29.0,7.0,27.0,17.0,15.27,9.0,0,1746.9,34.70500518081173,121.0,2,291.78276034215287,88.07126673833417,1,515.0833062528462,Poor
45.0,6,41746.76,3651.896666666667,8.0,5.0,31.0,3.0,62.0,21.0,9.81,8.0,0,1936.79,37.70526076095658,229.0,2,102.28339754384292,31.56000965684301,5,127.802446928115,Poor
21.0,10,19981.6,1459.1333333333332,10.0,8.0,20.0,7.0,54.0,21.0,23.58,12.0,0,4834.59,38.165545528243634,122.0,0,78.41827155188288,32.8700308749406,5,287.71265845270665,Standard
18.0,7,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,20.0,13.92,2.0,2,1219.39,34.50073214065473,373.0,2,214.8134632011097,77.26602559532006,0,541.5985112035703,Standard
33.0,11,88362.46,7255.538333333334,5.0,2.0,8.0,3.0,17.0,5.0,11.01,4.0,1,325.93,26.643505517944988,369.0,1,211.1843903373817,78.92670382261053,0,569.0421477940597,Good
45.0,5,118248.6,10115.05,5.0,1.0,4.0,0.0,13.0,10.0,3.69,4.0,1,191.09,29.14953014605081,205.0,0,0.0,186.5091567501205,0,1023.8862584616704,Good
26.0,12,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,18.0,10.0,14.79,7.0,2,1037.45,36.35924551524061,158.0,2,220.2137267039484,80.01264638361248,1,469.5244602457725,Standard
17.0,11,75273.24,6552.77,8.0,6.0,32.0,5.0,50.0,9.0,12.8,6.0,2,2497.34,33.594825065525875,62.0,0,222.6190561215212,73.1795426964801,0,548.0256556303023,Standard
18.0,10,54820.89,4295.4075,8.0,7.0,28.0,6.0,36.0,20.0,18.42,8.0,0,4795.13,35.802489136096455,35.0,2,169.48198431622052,58.18904643278668,5,70.47299093393599,Standard
42.0,5,58674.66,4824.555,8.0,5.0,15.0,4.0,57.0,23.0,2.29,11.0,0,2425.38,37.340891999840935,157.0,2,116.10341691461672,69.22823274816861,5,484.9722526208622,Poor
30.0,1,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,19.0,20.0,8.36,4.0,2,580.31,26.97596094691765,291.0,1,64.84803820501804,45.18470250450465,1,407.29362817352256,Standard
42.0,3,45207.54,3507.295,8.0,8.0,24.0,6.0,21.0,20.0,9.78,9.0,0,2497.48,26.6317197420342,196.0,2,148.91327341500903,32.07149617579405,1,401.9859971911333,Poor
18.0,12,144546.72,11809.56,0.0,3.0,7.0,2.0,15.0,7.0,6.08,1.0,1,1045.11,40.84068721130881,275.0,1,136.9885566187904,103.9012093399207,2,730.5558529037837,Standard
38.0,4,30346.35,2651.8625,5.0,4.0,14.0,7.0,27.0,9.0,18.8,5.0,2,523.56,28.21235655923923,100.0,2,96.72128021256924,29.045193182720087,5,313.35659490235275,Standard
46.0,9,18681.465,1584.78875,2.0,3.0,9.0,2.0,6.0,8.0,3.9,1.0,1,327.88,27.531342922886093,369.0,1,24.8214249786604,32.94987664874939,5,351.56102940919675,Standard
41.0,12,9841.34,690.1116666666667,8.0,9.0,31.0,5.0,61.0,16.0,29.52,8.0,0,4984.82,27.334689802194816,53.0,2,36.67512791916932,13.486314391796205,3,263.00336095618786,Standard
35.0,10,72330.98,6300.581666666666,0.0,3.0,11.0,1.0,1.0,7.0,4.62,1.0,1,596.78,31.873841746849948,392.0,1,31.37979415843871,48.328753294668296,4,488.1321720079125,Good
16.0,13,43241.49,3580.4575,10.0,7.0,30.0,6.0,36.0,17.0,8.47,10.0,0,2174.16,39.78232873796411,146.0,2,162.23896307011998,38.567458704402725,5,75.61653778367943,Standard
19.0,9,34106.78,2767.231666666666,8.0,5.0,17.0,0.0,8.0,10.0,10.06,0.0,2,996.54,31.063920820264286,383.0,2,0.0,24.071903173565943,5,451.5714293193701,Standard
24.0,13,129067.59,10795.6325,1.0,3.0,1.0,4.0,9.0,5.0,1.54,0.0,1,137.15,24.49869172989603,319.0,1,389.3056724525229,112.01452602775016,0,715.0400896147321,Good
34.0,1,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,11.0,20.0,5.62,0.0,2,1093.87,31.555540389733345,207.0,1,10.535555607461252,41.289065337162455,4,293.3867642130591,Standard
21.0,0,44719.17,3969.5975,6.0,6.0,29.0,7.0,41.0,19.0,23.21,11.0,0,3818.57,30.98237347875773,155.0,2,248.599885855438,115.76449205650242,1,268.1086390702124,Poor
47.0,0,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,0.0,15.0,5.65,0.0,2,730.9,26.99358623184505,357.0,1,20.06363388435491,28.516043623264604,2,321.865611420296,Standard
42.0,13,103353.06,8527.755,3.0,3.0,6.0,1.0,4.0,9.0,3.11,2.0,1,1374.56,32.685521602498184,307.0,1,64.00168567310892,67.10576784585814,1,857.8262026487407,Good
38.0,6,31021.24,2756.103333333333,7.0,7.0,11.0,4.0,16.0,21.0,18.21,4.0,2,852.81,31.194398646221146,394.0,1,90.7591784649516,56.97757258677189,1,366.3375745943925,Standard
36.0,6,134978.24,11059.186666666665,8.0,5.0,15.0,2.0,9.0,16.0,9.89,3.0,2,668.14,36.59328466892722,314.0,0,145.11182338766034,129.5214490981345,4,406.66240540680434,Standard
28.0,14,39800.12,3047.6766666666667,7.0,5.0,12.0,3.0,17.0,18.0,18.53,4.0,2,660.69,24.79435666515453,213.0,2,58.48765733950958,33.79278212331266,5,132.06178485838342,Standard
17.0,8,14841.35,1437.779166666667,6.0,5.0,17.0,7.0,60.0,16.0,27.64,6.0,0,3865.15,39.02987341341813,90.0,2,71.54474307214656,28.82234687359458,5,251.45539402194683,Standard
21.0,1,66105.4,5653.783333333333,6.0,8.0,31.0,5.0,26.0,22.0,5.52,9.0,0,1549.56,30.111040314509125,134.0,2,214.07212305606225,41.29274773414547,2,431.1593615799287,Standard
28.0,9,15398.95,1548.2458333333334,1.0,7.0,5.0,4.0,1.0,2.0,11.41,3.0,1,343.84,36.74315458116916,339.0,1,34.81396985624466,45.39012955896059,2,298.33250665573814,Standard
18.0,2,27070.07,2518.839166666666,7.0,3.0,11.0,4.0,12.0,15.0,5.68,1.0,2,919.76,28.555850410033027,350.0,1,73.23331847935155,17.6888357749622,2,362.336010237414,Standard
53.0,4,17992.775,1769.3979166666668,3.0,5.0,6.0,0.0,5.0,9.0,8.61,2.0,1,565.22,22.380398869829754,227.0,1,0.0,14.78725003902928,5,348.49703820102656,Poor
55.0,11,139354.48,10872.26505763546,3.0,3.0,18.0,0.0,17.0,18.0,9.94,3.0,2,519.3,32.7110284040027,239.0,1,0.0,156.87022098028402,1,1031.0762614672103,Standard
22.0,13,18305.25,1557.4375,2.0,1.0,4.0,0.0,14.0,11.0,5.27,2.0,1,363.51,34.83528110282578,242.0,1,0.0,28.458236486071574,4,361.8641960081073,Good
25.0,6,27865.26,2606.105,4.0,3.0,6.0,1.0,22.0,18.0,19.05,5.0,2,635.59,27.14233425808085,364.0,2,17.69844332156168,46.78581394303207,5,319.4724557023289,Standard
36.0,1,23404.86,1899.405,6.0,5.0,7.0,0.0,14.0,17.0,15.82,5.0,2,35.54,34.05823767057504,343.0,2,0.0,34.38842729423941,3,375.47786821288736,Standard
33.0,11,14205.09,1086.7575,7.0,10.0,21.0,8.0,33.0,18.0,19.42,12.0,0,4845.24,32.3137381492041,161.0,2,49.03239546911298,15.336224597153636,5,302.01565395081514,Poor
28.0,12,62320.56,5068.38,9.0,9.0,18.0,5.0,26.0,15.0,21.24,10.0,0,3589.56,32.02053669516868,16.0,2,171.34555972446432,64.07518363280778,1,405.8421340110332,Standard
25.0,8,43758.34,3454.528333333333,5.0,6.0,12.0,2.0,9.0,2.0,4.18,1.0,1,1194.28,29.317896659805555,397.0,1,56.31142051341512,36.81438810916744,2,319.8823432458192,Good
20.0,14,144881.68,11877.473333333332,3.0,4.0,15.0,4.0,6.0,13.0,10.1,2.0,2,404.51,33.90967514560081,309.0,2,414.65601320398537,227.5336623454579,0,738.2518345151111,Standard
38.0,10,108147.3,8926.275,3.0,6.0,6.0,4.0,14.0,20.0,7.57,0.0,2,1113.06,36.423766643057526,345.0,2,211.1795815692456,116.53311639609774,2,612.9678756761531,Standard
27.0,7,17759.1,1533.925,6.0,8.0,19.0,5.0,20.0,20.0,5.2,10.0,0,3598.39,27.228568017436587,57.0,2,64.55062048800421,15.193960535175282,5,188.7871183444385,Standard
37.0,13,85328.73,6858.7275,3.0,4.0,11.0,1.0,11.0,17.0,1.83,1.0,1,585.05,28.02456084846908,379.0,1,68.4589661120162,95.81963873724104,4,712.3229995210659,Good
26.0,14,134321.44,11064.453333333331,3.0,5.0,12.0,4.0,26.0,19.0,11.09,3.0,2,1428.68,26.75528645840011,392.0,2,253.6882437030989,206.21633338500544,4,417.0530291369421,Standard
24.0,7,61008.0,5235.0,10.0,5.0,32.0,4.0,16.0,19.0,19.44,12.0,2,1755.81,27.373242163951424,105.0,2,189.4265306646308,73.60092893712022,1,365.865799630216,Poor
19.0,2,28665.76,2582.813333333333,7.0,3.0,5.0,1.0,14.0,10.0,11.32,0.0,2,1237.46,36.639699298304585,291.0,1,22.68817757992469,44.31234274961548,5,184.60231817917816,Standard
18.0,7,56803.71,4620.6425,7.0,5.0,25.0,6.0,51.0,23.0,16.23,11.0,0,2593.44,29.75653235722221,69.0,2,187.190218862138,94.38794944530976,5,243.09427312040643,Standard
31.0,1,38364.82,2904.068333333333,9.0,6.0,32.0,4.0,34.0,22.0,3.44,11.0,0,1973.63,37.66455307223288,232.0,0,74.85037187731447,41.52856863202232,1,390.7639425034027,Poor
21.0,7,66528.24,5733.02,5.0,5.0,11.0,0.0,17.0,9.0,7.65,2.0,2,1460.8,26.42518128227474,268.0,2,0.0,38.94642667199516,0,673.7274392955476,Standard
55.0,3,19403.405,1904.9504166666663,1.0,7.0,3.0,3.0,13.0,9.0,3.9,2.0,1,339.11,31.229306847484608,196.0,1,39.2149144347618,12.699574148992587,1,349.1520196121019,Standard
19.0,6,31122.79,2761.5658333333336,7.0,5.0,12.0,0.0,28.0,20.0,9.75,2.0,2,358.6,30.79484744739084,273.0,1,0.0,32.419054110028405,3,325.6435231253492,Standard
19.0,1,15015.4,1213.2833333333333,5.0,5.0,9.0,1.0,23.0,9.0,5.04,1.0,1,330.17,33.27002451431646,259.0,1,11.685734566072789,47.30795792957788,5,307.52847498773326,Poor
34.0,4,19777.05,1728.0875,5.0,3.0,3.0,3.0,19.0,3.0,5.95,1.0,1,186.16,38.41845962965567,259.0,1,29.045533320072103,11.76411839618042,2,357.4905567198146,Poor
24.0,11,20188.02,1851.335,4.0,3.0,6.0,3.0,10.0,5.0,1.31,0.0,1,399.92,28.54258478328452,242.0,1,25.58028081581637,22.789935163440266,3,281.91700571081503,Standard
54.0,12,41345.58,3260.465,0.0,5.0,10.0,0.0,7.0,3.0,2.42,4.0,1,646.47,23.041951224428125,338.0,1,0.0,36.94720504158939,5,187.9342804647756,Standard
31.0,4,55151.04,4704.92,10.0,6.0,23.0,6.0,31.0,17.0,10.64,9.0,0,1743.83,30.30098552785213,146.0,2,171.82306738090188,72.06880052556768,4,315.83164048922487,Poor
39.0,8,30536.62,2430.718333333333,6.0,6.0,7.0,2.0,19.0,7.0,9.33,4.0,2,687.87,31.022658667241192,184.0,2,42.97244101951375,19.681144122429085,1,353.3703981178386,Standard
29.0,1,147499.6,12353.633333333331,2.0,2.0,12.0,2.0,14.0,3.0,4.21,1.0,1,1250.67,42.25298015327388,243.0,1,192.2064832741598,131.381035832214,2,1041.0774830778255,Standard
42.0,1,20005.22,1683.101666666667,8.0,3.0,6.0,4.0,22.0,20.0,18.33,8.0,2,1859.45,38.05357747176573,149.0,2,59.51321413246297,33.732895023802726,5,179.14075105972557,Standard
32.0,12,19795.52,1662.6266666666668,6.0,9.0,34.0,8.0,15.0,21.0,22.79,10.0,0,3135.02,37.8207562097495,27.0,2,130.47547071749042,28.01844341446745,5,248.7207836791003,Standard
33.0,3,60938.13,5163.1775,10.0,8.0,31.0,8.0,24.0,18.0,12.489999999999998,9.0,0,3947.24,21.74488350172792,58.0,2,378.304673376643,106.61205768032023,2,231.5254005497842,Poor
54.0,8,80396.86,6623.738333333334,5.0,7.0,9.0,0.0,8.0,11.0,10.47,0.0,1,1357.54,34.92686537493276,317.0,1,0.0,47.96336562901941,1,646.3607881287055,Good
42.0,14,57610.32,4517.86,8.0,10.0,25.0,9.0,41.0,23.0,21.31,7.0,0,4428.64,40.45753769650093,17.0,0,256.2341792269896,36.03012554918,4,53.75438369984539,Poor
36.0,6,18717.02,1294.7516666666668,8.0,5.0,15.0,5.0,14.0,20.0,10.3,7.0,2,2103.99,32.72190460900136,184.0,2,60.64699329311761,29.939366844700032,5,186.545008081936,Poor
17.0,6,19163.22,1346.9350000000004,3.0,7.0,7.0,2.0,23.0,18.0,8.76,5.0,2,2226.37,38.08096368598997,194.0,2,24.17564764974174,13.802486568675134,1,345.31111883723327,Standard
48.0,10,94554.87,7914.572499999998,2.0,6.0,2.0,0.0,9.0,0.0,9.24,3.0,1,1487.9,27.61540225190567,265.0,1,0.0,98.174684970301,5,455.1482400194304,Good
27.0,11,63536.98,5382.748333333334,4.0,5.0,12.0,2.0,29.0,14.0,15.78,4.0,2,89.62,34.95044798544689,369.0,2,69.10085253082353,36.732411953841904,5,242.1539061287957,Standard
39.0,1,9983.345,758.9454166666666,6.0,10.0,15.0,5.0,22.0,16.0,10.26,11.0,2,1823.35,36.988287689384926,110.0,0,29.24151868964153,0.0,5,261.65548061715543,Poor
14.0,0,27796.42,2300.3683333333333,6.0,5.0,16.0,2.0,18.0,14.0,11.85,7.0,2,1073.94,41.02732543348296,325.0,2,36.06763128414976,34.567422020091726,2,325.753011881206,Standard
29.0,4,132872.72,11203.726666666667,3.0,3.0,10.0,2.0,11.0,7.0,10.28,2.0,1,89.68,33.451349375902204,332.0,1,144.83068233841504,143.48602264296704,2,882.4191203287136,Good
41.0,1,140014.36,11662.863333333333,3.0,7.0,18.0,4.0,23.0,8.0,3.9,3.0,2,1151.7,34.92454850941926,205.0,0,348.6203964507333,102.22071214736154,1,644.0417706412898,Standard
47.0,0,37071.2,3006.2666666666664,1.0,6.0,6.0,4.0,17.0,5.0,11.56,3.0,1,869.99,34.98833625473729,220.0,1,74.69027138495908,53.602383645038,5,129.03683394286952,Good
20.0,5,41735.55,3357.9625,0.0,3.0,8.0,4.0,19.0,6.0,11.25,2.0,1,1480.92,32.503284267529445,292.0,1,109.61414671334232,60.160863585682975,2,387.2872393542415,Standard
38.0,1,40391.66,3357.971666666667,10.0,7.0,18.0,3.0,35.0,23.0,3.51,12.0,0,1950.62,38.395779801006405,95.0,2,60.370828399887685,34.141433776380616,4,284.79809161432013,Poor
18.0,14,7441.295,873.1079166666667,5.0,8.0,33.0,6.0,17.0,16.0,5.119999999999999,10.0,2,2569.3,30.21890537998302,67.0,2,75.97491614797292,30.89911476184216,5,255.58480480515635,Poor
40.0,12,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,23.0,14.0,7.81,4.0,2,2008.06,29.44953193902064,199.0,2,76.21247400832009,20.96898279881401,4,290.0437128884618,Standard
46.0,5,24585.55,2316.795833333333,3.0,4.0,14.0,2.0,9.0,14.0,11.35,0.0,2,195.38,30.63404462673011,321.0,2,30.447776935964107,34.79465480814094,0,397.965563320336,Standard
